username,display_name,email,external_user_id,home_branch_code,home_branch_name,region,registration_status,cohort,notes,candidate_id
3101,Ahmad Santoso,3100000000000001@lab.ecmp.local,3100000000000001,UPPPD-TANAH-ABANG,UPPPD Tanah Abang,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,0033859a-6575-5cfd-b6e3-9e2e787b49d8
3102,Dewi Hidayat,3100000000000002@lab.ecmp.local,3100000000000002,UPPPD-TANAH-ABANG,UPPPD Tanah Abang,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,35200542-b195-512a-badd-d820fcf33b2b
3103,Galih Firmansyah,3100000000000003@lab.ecmp.local,3100000000000003,UPPPD-TANAH-ABANG,UPPPD Tanah Abang,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,6a702b3f-b51f-51ac-b269-3cd709773134
3104,Joko Siregar,3100000000000004@lab.ecmp.local,3100000000000004,UPPPD-TANAH-ABANG,UPPPD Tanah Abang,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,84239020-8e16-53ca-81c7-2604a6f05a57
3105,Maya Dalimunthe,3100000000000005@lab.ecmp.local,3100000000000005,UPPPD-GAMBIR,UPPPD Gambir,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,f1ab5c1a-9a4b-5479-accf-7b39a72f5c7b
3106,Putri Ramadhan,3100000000000006@lab.ecmp.local,3100000000000006,UPPPD-GAMBIR,UPPPD Gambir,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,ee9596d6-c1e0-5d77-9817-dd31e0c99c14
3107,Tono Kusuma,3100000000000007@lab.ecmp.local,3100000000000007,UPPPD-GAMBIR,UPPPD Gambir,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,71c33c88-5d4d-5169-b440-60f421cfc3f4
3108,Wawan Putri,3100000000000008@lab.ecmp.local,3100000000000008,UPPPD-GAMBIR,UPPPD Gambir,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,b7bb4826-645f-5623-88eb-34057df726b2
3109,Agus Permata,3100000000000009@lab.ecmp.local,3100000000000009,UPPPD-SAWAH-BESAR,UPPPD Sawah Besar,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,fc59816e-04ab-578f-b143-629042bb84a3
3110,Fajar Manurung,3100000000000010@lab.ecmp.local,3100000000000010,UPPPD-SAWAH-BESAR,UPPPD Sawah Besar,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,fa78f94e-b20e-518b-b838-32d5d71b5972
3111,Intan Kurniawan,3100000000000011@lab.ecmp.local,3100000000000011,UPPPD-SAWAH-BESAR,UPPPD Sawah Besar,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,0b31b57d-c0d5-5c65-8ff4-a1db21552e42
3112,Lukman Prasetya,3100000000000012@lab.ecmp.local,3100000000000012,UPPPD-SAWAH-BESAR,UPPPD Sawah Besar,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,66c18a28-64a8-511c-a880-8f202870315b
3113,Prasetyo Lestari,3100000000000013@lab.ecmp.local,3100000000000013,UPPPD-KEMAYORAN,UPPPD Kemayoran,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,2552db3a-de4d-5c78-ba8a-d860c0ec80f7
3114,Tari Wibowo,3100000000000014@lab.ecmp.local,3100000000000014,UPPPD-KEMAYORAN,UPPPD Kemayoran,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,15cbc97f-bbd4-5552-9a0e-6ccaf2d16afa
3115,Citra Syahputra,3100000000000015@lab.ecmp.local,3100000000000015,UPPPD-KEMAYORAN,UPPPD Kemayoran,Jakarta Pusat,PENDING,DIRECTORY_POOL,Calon identitas pusat — BELUM anggota modul. Peran ditentukan admin saat mendaftarkan.,d40d7365-a292-521e-a77c-aaaf90b65176
